BWV,BC,Title,Key,Date,Genre,Scoring,Notes
001,A173,Wie schön leuchtet der Morgenstern,F major,1725,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
002,A098,"Ach Gott, vom Himmel sieh darein",G minor,1724,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
003,A033,"Ach Gott, wie manches Herzeleid",A major,1725,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
004,A054,Christ lag in Todesbanden,E minor,"1707–08?, rev. 1724–25",Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
005,A145,Wo soll ich fliehen hin,G minor,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
006,A057,"Bleib bei uns, denn es will Abend werden",C minor,1725,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",movt.III adapted in BWV 649
007,A177,Christ unser Herr zum Jordan kam,E minor,1724,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
008,A137,"Liebster Gott, wenn werd ich sterben?",E major,"1724, rev. 1744–47",Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
009,A107,Es ist das Heil uns kommen her,E major,1732–35,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
010,A175,Meine Seel erhebt den Herren,G minor,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",movt.V adapted in BWV 648
011,D9,Lobet Gott in seinen Reichen (Himmelfahrts-Oratorium),D major,1735,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",partly re-used in BWV 233
012,A068,"Weinen, Klagen, Sorgen, Zagen",F major,1714,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
013,A034,"Meine Seufzer, meine Tränen",D minor,1726,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
014,A040,WarWär Gott nicht mit uns diese Zeit,G major,1735,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
015,V01,Denn du wirst meine Seele nicht in der Hölle lassen,C major,—,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",spurious; composed by Johann Ludwig Bach
016,A023,"Herr Gott, dich loben wir",A minor,1725,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
017,A131,"Wer Dank opfert, der preiset mich",A major,1726,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",partly re-used in BWV 236
018,A044,Gleichwie der Regen und Schnee vom Himmel fällt,G minor,"1713–14, rev. 1724",Sacred cantatas,"For 3 voices, mixed chorus, orchestra",partly re-used in BWV 233
019,A180,Es erhub sich ein Streit,C major,1726,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
020,A095,"O Ewigkeit, du Donnerwort",F major,1724,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
021,A099,Ich hatte viel Bekümmernis,C minor,1714,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
022,A048,Jesus nahm zu sich die Zwölfe,G minor,1723,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
023,A047,Du wahrer Gott und Davids Sohn,C minor,"1723, rev. 1724",Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
024,A102,Ein ungefärbt Gemüte,F major,1723,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
025,A129,Es ist nichts Gesundes an meinem Leibe,E minor,1723,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
026,A162,"Ach wie flüchtig, ach wie nichtig",A minor,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
027,A138,"Wer weiss, wie nahe mir mein Ende",C minor,1726,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
028,A020,Gottlob! nun geht das Jahr zu Ende,A minor,1725,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",theme used in BWV 231
029,B08,"Wir danken dir, Gott, wir danken dir",D major,1731,Secular cantatas,"For 4 voices, mixed chorus, orchestra",Sinfonia (No. 1) based on the Prelude (No. 1) of the Violin Partita No. 3 BWV 1006.
030,A178,"Freue dich, erlöste Schar",D major,1738,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
030a,G31,Angenehmes Wiederau,D major,1737,Secular cantatas,"For 4 voices, mixed chorus, orchestra",dramma per musica
031,A055,Der Himmel lacht! die Erde jubiliert,C major,"1715, rev. 1724",Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
032,A031,"Liebster Jesu, mein Verlangen",E minor,1726,Sacred cantatas,"For 2 voices, mixed chorus, orchestra",
033,A127,"Allein zu dir, Herr Jesu Christ",A minor,1724,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
034,A084,"O ewiges Feuer, o Ursprung der Liebe",D major,1746–47,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",adapted from BWV 34a
034a,B13,"O ewiges Feuer, o Ursprung der Liebe",D major,1726,Secular cantatas,"For 4 voices, mixed chorus (orchestra?)",partly lost; revised as BWV 34
035,A125,Geist und Seele wird verwirret,D minor,1726,Sacred cantatas,"For voice, orchestra",partly based on a lost oboe concerto (see BWV 1059R)
036,A003,Schwingt freudig euch empor,D major,"1725–30?, rev. 1731",Sacred cantatas,"For 3 voices, mixed chorus, orchestra",based on BWV 36c
036a,G12,Steigt freudig in die Luft,,1726,Secular cantatas,,based on BWV.36c; lost
036b,G38,Die Freude reget sich,D major,1735,Secular cantatas,"For 3 voices, mixed chorus, orchestra",incomplete
036c,G35,Schwingt freudig euch empor,D major,1725,Secular cantatas,"For 3 voices, mixed chorus, orchestra",revised as BWV.36
037,A075,Wer da glaubet und getauft wird,A major,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",incomplete
