BWV,BC,Title,Key,Date,Genre,Scoring,Notes
598a,K27a,"Das Orgel-Büchlein (""Little Organ Book"")",,1713–15,Chorale preludes,For organ,
599,K028,Nun komm der Heiden Heiland (I),A major,1713–15,Chorale preludes,For organ,
600,K029,"Gott, durch deine Güte (""Gottes Sohn ist kommen"")",F major,1713–15,Chorale preludes,For organ,
601,K030,"Herr Christ, der einge Gottessohn (I) (""Herr Gott, nun sei gepreiset"")",A major,1713–15,Chorale preludes,For organ,
602,K031,Lob sei dem allmächtigen Gott (I),D minor,1713–15,Chorale preludes,For organ,
603,K032,Puer natus in Bethlehem,G minor,1713–15,Chorale preludes,For organ,
604,K033,"Gelobet seist du, Jesu Christ (I)",G major,1713–15,Chorale preludes,For organ,
605,K034,"Der Tag, der ist so freudenreich (I)",G major,1713–15,Chorale preludes,For organ,
606,K035,"Vom Himmel hoch, da komm ich her (I)",D major,1713–15,Chorale preludes,For organ,
607,K036,Vom Himmel kam der Engel schar,G mnor,1713–15,Chorale preludes,For organ,
608,K037,In dulci jubilo (I),A major,1713–15,Chorale preludes,For organ,
609,K038,"Lobt Gott, ihr Christen, allzugleich (I)",G major,1713–15,Chorale preludes,For organ,
610,K039,"Jesu, meine Freude (I)",C minor,1713–15,Chorale preludes,For organ,
611,K040,Christum wir sollen loben schon,E minor,1713–15,Chorale preludes,For organ,
612,K041,Wir Christenleut (I),G minor,1713–15,Chorale preludes,For organ,
613,K042,Helft mir Gottes Güte preisen (I),B minor,1713–15,Chorale preludes,For organ,
614,K043,Das alte Jahr vergangen ist (I),A minor,1713–15,Chorale preludes,For organ,
615,K044,In dir ist Freude,G major,1713–15,Chorale preludes,For organ,
616,K045,Mit Fried' und Freud' ich fahrdahin,D minor,1713–15,Chorale preludes,For organ,
617,K046,"Herr Gott, nun schleuss den Himmel auf (I)",A minor,1713–15,Chorale preludes,For organ,
618,K047,O Lamm Gottes unschuldig (I),F major,1713–15,Chorale preludes,For organ,
619,K048,"Christe, du Lamm Gottes",F major,1713–15,Chorale preludes,For organ,
620,K049,"Christus, der uns selig macht (I)",A minor,1713–15,Chorale preludes,For organ,
620a,—,"Christus, der uns selig macht (II)",A minor,1713?,Chorale preludes,For organ,
621,K050,Da Jesus an dem Kreuze stund',A minor,1713–15,Chorale preludes,For organ,
622,K051,"O Mensch, bewein' dein' Sünde groß",E♭ major,1713–15,Chorale preludes,For organ,
623,K052,"Wir danken dir, Herr Jesu Christ",G major,1713–15,Chorale preludes,For organ,
624,K053,"Hilf Gott, daß mir's gelinge",G minor,1713–15,Chorale preludes,For organ,
625,K055,Christ lag in Todesbanden (I),D minor,1713–15,Chorale preludes,For organ,
