BWV,BC,Title,Key,Date,Genre,Scoring,Notes
787–801,—,Sinfonias (15):,,1720–23,Sinfonias,For keyboard,
787,L042,Sinfonia No.1,C major,1720–23,Sinfonias,For keyboard,
788,L043,Sinfonia No.2,C minor,1720–23,Sinfonias,For keyboard,
789,L044,Sinfonia No.3,D major,1720–23,Sinfonias,For keyboard,
790,L045,Sinfonia No.4,D minor,1720–23,Sinfonias,For keyboard,
791,L046,Sinfonia No.5,E♭ major,1720–23,Sinfonias,For keyboard,
792,L047,Sinfonia No.6,E major,1720–23,Sinfonias,For keyboard,
793,L048,Sinfonia No.7,E minor,1720–23,Sinfonias,For keyboard,
794,L049,Sinfonia No.8,F major,1720–23,Sinfonias,For keyboard,
795,L050,Sinfonia No.9,F minor,1720–23,Sinfonias,For keyboard,
796,L051,Sinfonia No.10,G major,1720–23,Sinfonias,For keyboard,
797,L052,Sinfonia No.11,G minor,1720–23,Sinfonias,For keyboard,
798,L053,Sinfonia No.12,A major,1720–23,Sinfonias,For keyboard,
799,L054,Sinfonia No.13,A minor,1720–23,Sinfonias,For keyboard,
800,L055,Sinfonia No.14,B♭ major,1720–23,Sinfonias,For keyboard,
801,L056,Sinfonia No.15,B minor,1720–23,Sinfonias,For keyboard,
