BWV,BC,Title,Key,Date,Genre,Scoring,Notes
831,L008,"Ouverture nach Französischer Art
(Overture in the French Style)",B minor,1735,"Overtures
Partitas",For keyboard,2nd version of BWV 831a; No.2 in Clavier-Übung II
831a,L008,"Ouverture nach Französischer Art
(Overture in the French Style)",C minor,1733,"Overtures
Partitas",For keyboard,1st version of BWV 831
832,L174,Suite,A major,1708?,Suites,For keyboard,
833,L172,Praeludium et Partita dei Tuono Terzo,F major,1708–14?,"Preludes
Partitas",For keyboard,Bach's authorship uncertain; possibly composed by Bernardo Pasquini
834,—,Allemande,C minor,—,Allemandes,For keyboard,Bach's authorship uncertain
835,—,Allemande,A minor,—,Allemandes,For keyboard,spurious; composed by Johann Philipp Kirnberger
836,A040,Allemande,G minor,1720–22,Allemandes,For keyboard,composed with Wilhelm Friedemann Bach
837,A041,Allemande,G minor,1720–22,Allemandes,For keyboard,composed with Wilhelm Friedemann Bach; incomplete
838,—,Allemande and Courante,A major,—,"Allemandes
Courantes",For keyboard,spurious; composed by Christoph Graupner (GWV 849/2–3)
839,—,Sarabande,G minor,1735?,Sarabandes,For keyboard,Bach's authorship uncertain
840,—,Courante,G major,—,Courantes,For keyboard,spurious; composed by Georg Philipp Telemann (TWV 32:13)
841,L176/1,Minuet,G major,1720,Minuets,For keyboard,
842,L176/2,Minuet,G minor,1720,Minuets,For keyboard,
843,L176/3,Minuet,G major,1720,Minuets,For keyboard,
844,—,Scherzo,D minor,?,Scherzos,For keyboard,Bach's authorship uncertain; possibly composed by Wilhelm Friedemann Bach; see also BWV 844a
844a,—,Scherzo,E minor,—,Scherzos,For keyboard,alternative version of BWV 844; Bach's authorship uncertain; possibly composed by Wilhelm Friedemann Bach
845,—,Gigue,F minor,?,Gigues,For keyboard,Bach's authorship uncertain
