BWV,BC,Title,Key,Date,Genre,Scoring,Notes
846-869,,"Das wohltemperierte Klavier I (The Well-Tempered Clavier, Part I)",,1722,"Preludes
Fugues",For keyboard,
846,L080,Prelude and Fugue,C major,1722,"Preludes
Fugues",For keyboard,see also BWV 846a
846a,L080,Prelude and Fugue,C major,1722,"Preludes
Fugues",For keyboard,alternative version of BWV 846a
847,L081,Prelude and Fugue,C minor,1722,"Preludes
Fugues",For keyboard,
848,L082,Prelude and Fugue,C♯ major,1722,"Preludes
Fugues",For keyboard,
849,L083,Prelude and Fugue,C♯ minor,1722,"Preludes
Fugues",For keyboard,
850,L084,Prelude and Fugue,D major,1722,"Preludes
Fugues",For keyboard,
851,L085,Prelude and Fugue,D minor,1722,"Preludes
Fugues",For keyboard,
852,L086,Prelude and Fugue,E♭ major,1722,"Preludes
Fugues",For keyboard,
853,L087,Prelude and Fugue,E♭ minor,1722,"Preludes
Fugues",For keyboard,
854,L088,Prelude and Fugue,E major,1722,"Preludes
Fugues",For keyboard,
855,L089,Prelude and Fugue,E minor,1722,"Preludes
Fugues",For keyboard,see also BWV 855a
855a,L089,Prelude and Fugue,E minor,1722,"Preludes
Fugues",For keyboard,alternative version of BWV 855
856,L090,Prelude and Fugue,F major,1722,"Preludes
Fugues",For keyboard,
857,L091,Prelude and Fugue,F minor,1722,"Preludes
Fugues",For keyboard,
858,L092,Prelude and Fugue,F♯ major,1722,"Preludes
Fugues",For keyboard,
859,L093,Prelude and Fugue,F♯ minor,1722,"Preludes
Fugues",For keyboard,
860,L094,Prelude and Fugue,G major,1722,"Preludes
Fugues",For keyboard,
861,L095,Prelude and Fugue,G minor,1722,"Preludes
Fugues",For keyboard,
862,L096,Prelude and Fugue,A♭ major,1722,"Preludes
Fugues",For keyboard,
863,L097,Prelude and Fugue,G♯ minor,1722,"Preludes
Fugues",For keyboard,
864,L098,Prelude and Fugue,A major,1722,"Preludes
Fugues",For keyboard,
865,L099,Prelude and Fugue,A minor,1722,"Preludes
Fugues",For keyboard,
866,L100,Prelude and Fugue,B♭ major,1722,"Preludes
Fugues",For keyboard,
867,L101,Prelude and Fugue,B♭ minor,1722,"Preludes
Fugues",For keyboard,
868,L102,Prelude and Fugue,B major,1722,"Preludes
Fugues",For keyboard,
869,L103,Prelude and Fugue,B minor,1722,"Preludes
Fugues",For keyboard,
870-893,,"Das wohltemperierte Klavier II (The Well-Tempered Clavier, Part II)",,1740,"Preludes
Fugues",For keyboard,
870,L104,Prelude and Fugue,C major,1740,"Preludes
Fugues",For keyboard,"see also BWV 870a, 870b"
870a,L104,Prelude and Fugue,C major,1740,"Preludes
Fugues",For keyboard,alternative version of BWV 870
870b,L104,Prelude and Fugue,C major,1740,"Preludes
Fugues",For keyboard,alternative version of BWV 870
871,L105,Prelude and Fugue,C minor,1740,"Preludes
Fugues",For keyboard,
872,L106,Prelude and Fugue,C♯ major,1740,"Preludes
Fugues",For keyboard,see also BWV 872a
872a,L106,Prelude and Fugue,C♯ major,1740,"Preludes
Fugues",For keyboard,alternative version of BWV 872
873,L107,Prelude and Fugue,C♯ minor,1740,"Preludes
Fugues",For keyboard,
874,L108,Prelude and Fugue,D major,1740,"Preludes
Fugues",For keyboard,
875,L109,Prelude and Fugue,D minor,1740,"Preludes
Fugues",For keyboard,see also BWV 875a
875a,L109,Prelude and Fugue,D minor,1740,"Preludes
Fugues",For keyboard,alternative version of BWV 875
876,L110,Prelude and Fugue,E♭ major,1740,"Preludes
Fugues",For keyboard,
877,L111,Prelude and Fugue,E♭ minor,1740,"Preludes
Fugues",For keyboard,
878,L112,Prelude and Fugue,E major,1740,"Preludes
Fugues",For keyboard,
879,L113,Prelude and Fugue,E minor,1740,"Preludes
Fugues",For keyboard,
880,L114,Prelude and Fugue,F major,1740,"Preludes
Fugues",For keyboard,
