BWV,BC,Title,Key,Date,Genre,Scoring,Notes
Anh.001,—,Gesegnet ist die Zuversicht,,—,Sacred cantatas,"For voices, 2 flutes, strings, continuo",spurious; composed by Georg Philipp Telemann (TWV 1:617)
Anh.002,A147,Cantata,,1729,Sacred cantatas,"For 4 voices, mixed chorus, strings, continuo",cantata for the 19th Sunday after Trinity; fragment only
Anh.003,B07,"Gott, gib dein Gerichte dem Könige",,1730,Secular cantatas,?,cantata for the inauguration of Leipzig town council; music lost
Anh.004,B04a,Wünschet Jerusalem Glück,,1726–28?,Secular cantatas,?,cantata for the inauguration of Leipzig town council; 1st version of BWV Anh.4a; music lost
Anh.004a,B29,Wünschet Jerusalem Glück,,1730,Secular cantatas,?,cantata for the 3rd day of the 200th anniversary of the Augsburg Confession; 2nd version of BWV Anh.4; music lost
Anh.005,B30,"Lobet der Herrn, alle seine Heerscharen",,1718,Secular cantatas,?,cantata for the birthday of Prince Leopold of Anhalt-Cöthen; music lost
Anh.006,G06,Dich loben die lieblichen Strahlen,,1719,Sacred cantatas,?,cantata for New Year's Day; music lost
Anh.007,G07,Heut ist gewiss ein guter Tag,,1720,Secular cantatas,?,cantata for the birthday of Prince Leopold of Anhalt-Cöthen; music lost
Anh.008,G10,Cantata,,1722,Secular cantatas,?,cantata for New Year's Day; lost; possibly the same as BWV 184a
Anh.009,G14,"Entfernet euch, ihr heitern Sterne",,1727,Secular cantatas,?,cantata for birthday of King August III; music lost
Anh.010,G30,"So kämpfet nur, ihr muntern Töne",,1731,Secular cantatas,?,"cantata for the birthday of Joachim Friedrich, Graf von Flemming; music lost"
Anh.011,G16,"Es lebe der König, der Vater im Lande",,1732,Secular cantatas,?,cantata for the nameday of King August II; music lost
Anh.012,G17,"Frohes Volk, vergnügte Sachsen",,1733,Secular cantatas,?,cantata for the nameday of King August II; based on BWV Anh.18; music lost
Anh.013,G24,Willkommen! Ihr herrschenden Götter,,1738,Secular cantatas,?,cantata for the wedding of Prince Carl IV and Princess Maria Amalia; music lost
Anh.014,B12,Sein Segen fliesst daher wie ein Strom,,1725,Secular cantatas,?,wedding cantata for Christoph Friedrich Lösner and Johanna Elisabetha Scherling; music lost
Anh.015,B32,"Siehe, der Hüter Israel",,1723–49?,Secular cantatas,"For 4 voices, orchestra",cantata for a degree ceremony at Leipzig University; fragment only
Anh.016,—,Schließt die Gruft! Ihr Trauerglocken,,1735,Secular cantatas,?,funeral cantata; music lost
Anh.017,—,"Mein Gott, nimm die gerechte Seele",,?,Secular cantatas,"For 4 voices, orchestra",funeral cantata; fragments only
