BWV,BC,Title,Key,Date,Genre,Scoring,Notes
439,F274,"Ach, dass nicht die letzte Stunde",,1736,Sacred songs,"voice, continuo","Schemelli's Gesang-Buch (No.831, p.564)"
440,F229,"Auf, auf! die rechte Zeit ist hier",,1736,Sacred songs,"voice, continuo","Schemelli's Gesang-Buch (No.171, p.114)"
441,F245,"Auf, auf! mein Herz, mit Freuden",,1736,Sacred songs,"voice, continuo","Schemelli's Gesang-Buch (No.320, p.215)"
442,F257,Beglückter Stand getreuer Seelen,,1736,Sacred songs,"voice, continuo","Schemelli's Gesang-Buch (No.570, p.386)"
443,F265,"Beschränkt, ihr Weisen dieser Welt",,1736,Sacred songs,"voice, continuo","Schemelli's Gesang-Buch (No.689, p.473)"
444,F242,"Brich entzwei, mein armes Herze",,1736,Sacred songs,"voice, continuo","Schemelli's Gesang-Buch (No.303, p.203)"
445,F247,Brunnquell aller Güter,,1736,Sacred songs,"voice, continuo","Schemelli's Gesang-Buch (No.355, p.236)"
446,F220,Der lieben Sonne Licht und Pracht,,1736,Sacred songs,"voice, continuo","Schemelli's Gesang-Buch (No.39, p.24)"
447,F221,"Der Tag ist hin, die Sonne gehet nieder",,1736,Sacred songs,"voice, continuo","Schemelli's Gesang-Buch (No.40, p.25)"
448,F222,Der Tag mit seinem Lichte,,1736,Sacred songs,"voice, continuo","Schemelli's Gesang-Buch (No.43, p.27)"
449,F249,"Dich bet ich an, mein höchster Gott",,1736,Sacred songs,"voice, continuo","Schemelli's Gesang-Buch (No.396, p.258)"
450,F235,Die bittre Leidenszeit beginnet abermal,,1736,Sacred songs,"voice, continuo","Schemelli's Gesang-Buch (No.258, p.170)"
451,F219,"Die goldne Sonne, voll Freud' und Wonne",,1736,Sacred songs,"voice, continuo","Schemelli's Gesang-Buch (No.13, p.9)"
452,F250,"Dir, dir, Jehova, will ich singen",,1736,Sacred songs,"voice, continuo","Schemelli's Gesang-Buch (No.397, p.259)"
453,F225,"Eins ist Not! ach Herr, dies Eine",,1736,Sacred songs,"voice, continuo","Schemelli's Gesang-Buch (No.112, p.74)"
