BWV,BC,Title,Key,Date,Genre,Scoring,Notes
1081,—,Credo in unum Deum,F major,?,Credo,"For mixed chorus, continuo",chorale for a Missa brevis by Giovanni Battista Bassani
1082,E15,Suscepit Israel puerum suum,E minor,1740–42,Magnificats,"For mixed chorus, strings, continuo",arrangement of the 3rd movement of the Magnificat in C major by Antonio Caldara
1083,—,"Tilge, Höchster, meine Sünden (Psalm 51)",,1745–47,Psalms,"For 2 voices, strings, continuo",adaptation of the Stabat Mater by Giovanni Battista Pergolesi
1084,D5,"O hilf, Christe, Gottes Sohn",,1726,Chorales,For mixed chorus,
1085,K110,O Lamm Gottes unschuldig (IV),,1715–18?,Chorale preludes,For organ,
1086,—,"Canon (""Concordia discors"")",D major,1750?,Canons,For 2 instruments,
1087,—,Canons (14),G major,1747–48,Canons,For 6 instruments,based on the theme of BWV 988
1088,D10,So heb ich denn mein Augesehnlich auf,G minor/ E♭ major,?,Arias,"For voice, 2 bassoons (or 2 cellos), continuo",intended for the Passions-Pasticcio by Karl Heinrich Graun; Bach's authorship uncertain
1089,F109.1,Da Jesus an dem Kreuze stund,,?,Chorales,For mixed chorus,
1090–1120,—,"Chorale Preludes (""Neumeister Chorales"") (31):",,1703–07?,Chorale preludes,For organ,
1090,K161,Wir Christenleut' (II),,1703–07?,Chorale preludes,For organ,
1091,K162,Das alte Jahr vergangen ist (II),,1703–07?,Chorale preludes,For organ,
1092,K163,"Herr Gott, nun schleuss den Himmel auf (II)",,1703–07?,Chorale preludes,For organ,
1093,K164,"Herzliebster Jesu, was hast duverbrochen (I)",,1703–07?,Chorale preludes,For organ,
1094,K165,"O Jesu, wie ist dein Gestalt",,1703–07?,Chorale preludes,For organ,
1095,K166,O Lamm Gottes unschuldig (V),,1703–07?,Chorale preludes,For organ,
1096,K194,"Christ, der du bist Tag und Licht",,1703–07?,Chorale preludes,For organ,
1097,K168,"Ehre sei dir, Christe, der duleidest Not",,1703–07?,Chorale preludes,For organ,
1098,K169,Wir glauben all an einen Gott (III),,1703–07?,Chorale preludes,For organ,
1099,K170,Aus tiefer Not schrei ich zu dir (III),,1703–07?,Chorale preludes,For organ,
1100,K171,"Allein zu dir, Herr Jesu Christ",,1703–07?,Chorale preludes,For organ,
1101,K174,Durch Adams Fall ist ganzverderbt (III),,1703–07?,Chorale preludes,For organ,
1102,K175,"Du Friedenfürst, Herr Jesu Christ",,1703–07?,Chorale preludes,For organ,
1103,K181,"Erhalt uns, Herr, bei deinem Wort (I)",,1703–07?,Chorale preludes,For organ,
1104,K177,Wenn dich Unglück tut greifen an,,1703–07?,Chorale preludes,For organ,
1105,K178,"Jesu, meine Freude (III)",,1703–07?,Chorale preludes,For organ,
1106,K179,"Gott ist mein Heil, mein Hilf undTrost",,1703–07?,Chorale preludes,For organ,
1107,K180,"Jesu, meines Lebens Leben (I)",,1703–07?,Chorale preludes,For organ,
1108,K181,Als Jesus Christus in der Nacht,,1703–07?,Chorale preludes,For organ,
1109,K182,"Ach Gott, tu dich erbarmen",,1703–07?,Chorale preludes,For organ,
1110,K183,"O Herre Gott, dein göttlich's Wort (II)",,1703–07?,Chorale preludes,For organ,
1111,K184,Nun lasst uns den Leib begraben,,1703–07?,Chorale preludes,For organ,
1112,K185,"Christus, der ist mein Leben",,1703–07?,Chorale preludes,For organ,
1113,K186,Ich hab mein Sach Gottheimgestellt (IV),,1703–07?,Chorale preludes,For organ,
1114,K187,"Herr Jesu Christ, du höchstes Gut",,1703–07?,Chorale preludes,For organ,
1115,K188,"Herzlich lieb hab ich dich, o Herr,",,1703–07?,Chorale preludes,For organ,
1116,K189,"Was Gott tut, das ist wohlgetan (I)",,1703–07?,Chorale preludes,For organ,
1117,K190,Alle Menschen müssen sterben (II),,1703–07?,Chorale preludes,For organ,
1118,K192,"Werde munter, mein Gemüte",,1703–07?,Chorale preludes,For organ,
1119,K193,Wie nach einer Wasserquelle,,1703–07?,Chorale preludes,For organ,
1120,K194,"Christ, der du bist der helle Tag",,1703–07?,Chorale preludes,For organ,
1121,—,Fantasia,C minor,1706–10,Fantasias,For organ,formerly BWV Anh.205
1122–1126,—,Chorale Preludes (5):,,1703–07?,Chorale preludes,For organ,
1122,—,"Denket doch, ihr Menschenkinder",,?,Chorale preludes,For organ,
1123,—,Wo Gott zum Haus nicht gibt sein' Gunst (II),,?,Chorale preludes,For organ,
1124,—,"Ich ruf zu dir, Herr Jesu Christ",,?,Chorale preludes,For organ,
1125,—,"O Gott, du frommer Gott (III)",,?,Chorale preludes,For organ,
1126,—,"Lobet Gott, unseren Herren",,?,Chorale preludes,For organ,
1127,—,"Alles mit Gott, nichts ohn' ihn",,1713,Sacred songs,"For voice, continuo",
1128,—,Wo Gott der Herr nicht bei uns hält,B♭ major,?,Fantasias,For organ,formerly BWV Anh.71
